ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
Elevation,Meters above sea level,Meters above sea level,"{""datatype"": ""decimal""}",Physical Landscape,Continuous,masl,Global Multi-resolution Terrain Elevation Data 2010,,
Slope,Mean incline (in degrees) in the terrain (unit of sample 0.5 by 0.5 degree cell),Mean incline (in degrees) in the terrain (unit of sample 0.5 by 0.5 degree cell),"{""datatype"": ""decimal""}",Physical Landscape,Continuous,degrees,Global Multi-resolution Terrain Elevation Data 2010,,
